"SampleDate","Site","BenthicReefSpecies","Latitude","Longitude","Density_m2"
"01-Aug-2022","3 Palms East","Mesocentrotus franciscanus",33.719,-118.3318,0.05
"01-Aug-2022","3 Palms East","Strongylocentrotus purpuratus",33.719,-118.3318,0.0833333333333333
"01-Dec-2016","Old 18th","Apostichopus parvimensis",33.72309,-118.34377,0.0333333333333333
"01-Dec-2016","Old 18th","Luidia armata",33.72096,-118.34545,0.05
"01-Dec-2016","Old 18th","Mesocentrotus franciscanus",33.72309,-118.34377,0.0166666666666667
"01-Dec-2016","Old 18th","Patiria miniata",33.72153,-118.34498,0.0333333333333333
"01-Dec-2016","Old 18th","Strongylocentrotus purpuratus",33.723075,-118.343805,0.05
"01-Dec-2017","Old 18th","Apostichopus parvimensis",33.7221,-118.34451,0.0333333333333333
"01-Dec-2017","Cape Point","Mesocentrotus franciscanus",33.71946,-118.34091,0.116666666666667
"01-Dec-2017","Cape Point","Patiria miniata",33.718685,-118.3411975,0.133333333333333
"01-Jul-2011","Bunker Point","Apostichopus parvimensis",33.72529,-118.3536,0.25
"01-Jul-2011","Bunker Point","Mesocentrotus franciscanus",33.7255166666667,-118.353106666667,0.866666666666667
"01-Jul-2011","Bunker Point","Patiria miniata",33.7254033333333,-118.353353333333,0.05
"01-Jul-2011","Bunker Point","Pisaster giganteus",33.72546,-118.35323,0.5
"01-Jul-2011","Bunker Point","Pisaster ochraceus",33.72563,-118.35286,0.0333333333333333
"01-Jul-2011","Bunker Point","Strongylocentrotus purpuratus",33.725562,-118.353008,7.4
"01-Jul-2022","Rocky Point North","Apostichopus parvimensis",33.7812114285714,-118.431992857143,0.15
"01-Jul-2022","Rocky Point North","Centrostephanus coronatus",33.78149,-118.43324,0.0333333333333333
"01-Jul-2022","Rocky Point North","Henricia sp",33.7812011111111,-118.431946666667,0.233333333333333
"01-Jul-2022","Rocky Point North","Linckia columbiae",33.78084,-118.43033,0.0666666666666667
"01-Jul-2022","Rocky Point North","Mesocentrotus franciscanus",33.7808885714286,-118.431114285714,2.23333333333333
"01-Jul-2022","Rocky Point North","Patiria miniata",33.78149,-118.43324,0.0833333333333333
"01-Jul-2022","Rocky Point North","Pisaster giganteus",33.78149,-118.43324,0.0166666666666667
"01-Jul-2022","Rocky Point North","Strongylocentrotus purpuratus",33.7803988888889,-118.429617777778,0.583333333333333
"01-Sep-2009","Ridges North","Apostichopus parvimensis",33.78791,-118.422,0.0166666666666667
"01-Sep-2009","Ridges North","Henricia sp",33.79034,-118.42775,0.0333333333333333
"01-Sep-2009","Ridges North","Mesocentrotus franciscanus",33.78872,-118.423916666667,0.883333333333333
"01-Sep-2009","Ridges North","Patiria miniata",33.79034,-118.42775,0.366666666666667
"01-Sep-2009","Ridges North","Pisaster brevispinus",33.789125,-118.424875,0.0333333333333333
"01-Sep-2009","Ridges North","Pisaster giganteus",33.7886042857143,-118.423642857143,0.183333333333333
"01-Sep-2009","Ridges North","Strongylocentrotus purpuratus",33.78791,-118.422,0.116666666666667
"02-Aug-2019","Cape Point","Apostichopus parvimensis",33.7217933333333,-118.340145,0.15
"02-Aug-2019","Cape Point","Mesocentrotus franciscanus",33.72164,-118.34029,0.0666666666666667
"02-Aug-2019","Cape Point","Strongylocentrotus purpuratus",33.72164,-118.34029,0.133333333333333
"02-Aug-2019","3 Palms West","Apostichopus parvimensis",33.719115,-118.3350075,0.2
"02-Aug-2019","3 Palms West","Astropecten armatus",33.71594,-118.33688,0.0166666666666667
"02-Aug-2019","3 Palms West","Centrostephanus coronatus",33.71802,-118.33533,0.0166666666666667
"02-Aug-2019","3 Palms West","Lytechinus pictus",33.71594,-118.33688,1.28333333333333
"02-Aug-2019","3 Palms West","Mesocentrotus franciscanus",33.717772,-118.335778,0.233333333333333
"02-Aug-2019","3 Palms West","Patiria miniata",33.7162866666667,-118.336621666667,0.183333333333333
"02-Aug-2019","3 Palms West","Sclerasterias heteropaes",33.71594,-118.33688,0.0166666666666667
"02-Aug-2019","3 Palms West","Strongylocentrotus purpuratus",33.71875,-118.335115,0.1
"02-Jul-2010","Ridges North","Mesocentrotus franciscanus",33.78791,-118.422,1.01666666666667
"02-Jul-2010","Ridges North","Pisaster giganteus",33.78791,-118.422,0.183333333333333
"02-Jul-2010","Ridges North","Strongylocentrotus purpuratus",33.78791,-118.422,0.483333333333333
"02-Jul-2010","Rocky Point South","Mesocentrotus franciscanus",33.7767,-118.43029,0.0666666666666667
"02-Jul-2010","Rocky Point South","Pisaster giganteus",33.7767,-118.43029,0.1
"02-Jul-2010","Rocky Point South","Strongylocentrotus purpuratus",33.7767,-118.43029,0.0833333333333333
"02-Jul-2013","Rocky Point North","Apostichopus parvimensis",33.78084,-118.43033,0.0666666666666667
"02-Jul-2013","Rocky Point North","Henricia sp",33.78084,-118.43033,0.0833333333333333
"02-Jul-2013","Rocky Point North","Linckia columbiae",33.78084,-118.43033,0.0166666666666667
"02-Jul-2013","Rocky Point North","Mesocentrotus franciscanus",33.78042,-118.429486666667,0.65
"02-Jul-2013","Rocky Point North","Pisaster giganteus",33.780525,-118.4296975,0.233333333333333
"02-Jul-2013","Rocky Point North","Strongylocentrotus purpuratus",33.7803,-118.429245714286,0.383333333333333
"02-Jul-2014","Honeymoon Cove","Apostichopus parvimensis",33.7643433333333,-118.4245,0.0666666666666667
"02-Jul-2014","Honeymoon Cove","Centrostephanus coronatus",33.76394,-118.42582,0.0333333333333333
"02-Jul-2014","Honeymoon Cove","Henricia sp",33.76394,-118.42582,0.0333333333333333
"02-Jul-2014","Honeymoon Cove","Mesocentrotus franciscanus",33.7643721428571,-118.424405714286,1.9
"02-Jul-2014","Honeymoon Cove","Patiria miniata",33.764056,-118.425204,0.85
"02-Jul-2014","Honeymoon Cove","Strongylocentrotus purpuratus",33.7644378571429,-118.424232857143,9.58333333333333
"02-Jul-2020","Rocky Point North","Apostichopus parvimensis",33.7810025,-118.4310575,0.116666666666667
"02-Jul-2020","Rocky Point North","Henricia sp",33.7813042857143,-118.432408571429,0.166666666666667
"02-Jul-2020","Rocky Point North","Linckia columbiae",33.780665,-118.429975,0.133333333333333
