"Year","DepthZone","Site","Species","mean_density_100m2","mean_chl_mg_m3","max_chl_mg_m3","min_chl_mg_m3","mean_sst_C","max_sst_C","min_sst_C","dist_200m_bath","Relief_index","Relief_SD","Relief_simpson","Substrate_index","Substrate_SD","Substrate_simpson","Latitude","Longitude"
2004,"Inner","Point Vicente West","Apostichopus californicus",0,3.58267132242791,10.2337964918072,0.748259311400181,18.1235294117647,20.98125,15,1815.81452899656,0.6115625,0.550356373083329,0.477777777777778,3.88039166666667,0.300447773130589,0.158870967741936,33.74128,-118.41261
2004,"Inner","Point Vicente West","Apostichopus parvimensis",15.8333333333333,3.58267132242791,10.2337964918072,0.748259311400181,18.1235294117647,20.98125,15,1815.81452899656,0.6115625,0.550356373083329,0.477777777777778,3.88039166666667,0.300447773130589,0.158870967741936,33.74128,-118.41261
2004,"Inner","Point Vicente West","Mesocentrotus franciscanus",2.5,3.58267132242791,10.2337964918072,0.748259311400181,18.1235294117647,20.98125,15,1815.81452899656,0.6115625,0.550356373083329,0.477777777777778,3.88039166666667,0.300447773130589,0.158870967741936,33.74128,-118.41261
2004,"Inner","Point Vicente West","Patiria miniata",2.5,3.58267132242791,10.2337964918072,0.748259311400181,18.1235294117647,20.98125,15,1815.81452899656,0.6115625,0.550356373083329,0.477777777777778,3.88039166666667,0.300447773130589,0.158870967741936,33.74128,-118.41261
2004,"Inner","Point Vicente West","Pisaster giganteus",3.33333333333334,3.58267132242791,10.2337964918072,0.748259311400181,18.1235294117647,20.98125,15,1815.81452899656,0.6115625,0.550356373083329,0.477777777777778,3.88039166666667,0.300447773130589,0.158870967741936,33.74128,-118.41261
2004,"Inner","Point Vicente West","Pisaster ochraceus",6.66666666666667,3.58267132242791,10.2337964918072,0.748259311400181,18.1235294117647,20.98125,15,1815.81452899656,0.6115625,0.550356373083329,0.477777777777778,3.88039166666667,0.300447773130589,0.158870967741936,33.74128,-118.41261
2004,"Inner","Point Vicente West","Strongylocentrotus purpuratus",1000,3.58267132242791,10.2337964918072,0.748259311400181,18.1235294117647,20.98125,15,1815.81452899656,0.6115625,0.550356373083329,0.477777777777778,3.88039166666667,0.300447773130589,0.158870967741936,33.74128,-118.41261
2004,"Inner","Rocky Point North","Apostichopus californicus",31.2500000000001,3.40453603961913,12.2916741133335,0.645540404750976,17.7001142857143,22.65,14.0625,4041.12137165318,0.165329166666667,0.262705871292365,0.187096774193548,3.79032083333333,0.402700392582036,0.248028673835126,33.77961,-118.42688
2004,"Inner","Rocky Point North","Apostichopus parvimensis",0,3.40453603961913,12.2916741133335,0.645540404750976,17.7001142857143,22.65,14.0625,4041.12137165318,0.165329166666667,0.262705871292365,0.187096774193548,3.79032083333333,0.402700392582036,0.248028673835126,33.77961,-118.42688
2004,"Inner","Rocky Point North","Mesocentrotus franciscanus",2.5,3.40453603961913,12.2916741133335,0.645540404750976,17.7001142857143,22.65,14.0625,4041.12137165318,0.165329166666667,0.262705871292365,0.187096774193548,3.79032083333333,0.402700392582036,0.248028673835126,33.77961,-118.42688
