"SampleDate","Site","BenthicReefSpecies","Latitude","Longitude","Density_m2"
"01-Aug-2022","3 Palms East","Apostichopus californicus",33.719,-118.3318,0
"01-Aug-2022","3 Palms East","Apostichopus californicus",33.719,-118.3318,0
"01-Aug-2022","3 Palms East","Apostichopus parvimensis",33.719,-118.3318,0
"01-Aug-2022","3 Palms East","Apostichopus parvimensis",33.719,-118.3318,0
"01-Aug-2022","3 Palms East","Mesocentrotus franciscanus",33.719,-118.3318,0.0333333333333333
"01-Aug-2022","3 Palms East","Mesocentrotus franciscanus",33.719,-118.3318,0.0166666666666667
"01-Aug-2022","3 Palms East","Patiria miniata",33.719,-118.3318,0
"01-Aug-2022","3 Palms East","Patiria miniata",33.719,-118.3318,0
"01-Aug-2022","3 Palms East","Pisaster giganteus",33.719,-118.3318,0
"01-Aug-2022","3 Palms East","Pisaster giganteus",33.719,-118.3318,0
"01-Aug-2022","3 Palms East","Pisaster ochraceus",33.719,-118.3318,0
"01-Aug-2022","3 Palms East","Pisaster ochraceus",33.719,-118.3318,0
"01-Aug-2022","3 Palms East","Strongylocentrotus purpuratus",33.719,-118.3318,0.0333333333333333
"01-Aug-2022","3 Palms East","Strongylocentrotus purpuratus",33.719,-118.3318,0.05
"01-Dec-2016","Old 18th","Apostichopus californicus",33.72255,-118.3442075,0
"01-Dec-2016","Old 18th","Apostichopus californicus",33.72255,-118.3442075,0
"01-Dec-2016","Old 18th","Apostichopus californicus",33.72255,-118.3442075,0
"01-Dec-2016","Old 18th","Apostichopus californicus",33.72255,-118.3442075,0
"01-Dec-2016","Old 18th","Apostichopus californicus",33.72255,-118.3442075,0
"01-Dec-2016","Old 18th","Apostichopus californicus",33.72255,-118.3442075,0
"01-Dec-2016","Old 18th","Apostichopus californicus",33.72255,-118.3442075,0
"01-Dec-2016","Old 18th","Apostichopus californicus",33.72255,-118.3442075,0
"01-Dec-2016","Old 18th","Apostichopus parvimensis",33.72255,-118.3442075,0
"01-Dec-2016","Old 18th","Apostichopus parvimensis",33.72255,-118.3442075,0.0333333333333333
